WEIGHT,LOCATION,REGION,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ
69.1571,1,3,1,90000,1200,3,0.9369
69.1571,2,3,1,82000,1200,3,0.9369
69.1571,3,3,1,68000,1100,3,0.9369
18.5789,2,4,1,90000,1200,3,0.9369
18.5789,1,4,1,90000,1200,3,0.9369
18.5789,1,4,1,76000,920,3,0.9369
18.5789,1,4,1,85000,1100,3,0.9369
18.5789,1,4,1,71000,820,1,0.9369
18.5789,3,4,1,85000,1100,3,0.9369
18.5789,1,4,1,94000,1300,3,0.9369
18.5789,1,4,1,85000,1100,3,0.9369
11.45,2,1,1,96000,1200,3,0.9369
69.1571,2,3,1,69000,660,1,0.9369
15.7455,1,2,1,66000,740,1,0.9369
15.7455,1,2,1,90000,1200,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
15.7455,1,2,1,94000,1300,3,0.9369
15.7455,1,2,1,91000,740,1,0.9369
15.7455,1,2,1,78000,960,3,0.9369
15.7455,1,2,1,69000,740,1,0.9369
15.7455,1,2,1,78000,960,3,0.9369
69.1571,3,3,1,75000,900,1,0.9369
69.1571,2,3,1,73000,1300,3,0.9369
15.7455,1,2,1,90000,1200,3,0.9369
15.7455,1,2,1,87000,1200,3,0.9369
15.7455,1,2,1,71000,1100,3,0.9369
15.7455,1,2,1,94000,1300,3,0.9369
15.7455,1,2,1,65000,1200,3,0.9369
15.7455,1,2,1,67000,1100,3,0.9369
15.7455,1,2,1,100000,1200,1,0.9369
15.7455,1,2,1,76000,920,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
18.5789,3,4,1,94000,1300,3,0.9369
15.7455,2,2,1,90000,1200,3,0.9369
11.45,1,1,1,93000,780,1,0.9369
69.1571,1,3,1,98000,920,1,0.9369
15.7455,1,2,1,56000,1200,3,0.9369
15.7455,3,2,1,92000,1200,1,0.9369
69.1571,3,3,1,53000,840,1,0.9369
18.5789,2,4,1,57000,820,1,0.9369
11.45,1,1,1,95000,960,1,0.9369
11.45,1,1,1,99000,630,1,0.9369
11.45,1,1,1,82000,1100,3,0.9369
11.45,3,1,1,80000,950,1,0.9369
11.45,1,1,1,76000,1100,3,0.9369
69.1571,2,3,1,73000,1200,3,0.9369
69.1571,3,3,1,90000,1200,3,0.9369
